;NOMBRE;NOMBRE-VIA;TIPO DE LUGAR;DISTRITO;DISTANCIA_SEDES;name;address;DISTANCIA_BICIS;DISTANCIA TOTAL
154;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Cea Bermúdez;Calle Cea Bermúdez nº 59;POINT (4501648.220272245 -413890.2734031079);5631.385353166574
211;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Plaza de Castilla 2;Paseo Castellana (Fundación Canal);POINT (4504618.658432623 -410916.2117031638);5638.113928708489
135;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Orense 36;Calle Orense nº 36;POINT (4503412.812312503 -411568.7402199113);5676.38604503921
134;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Sor Ángela de la Cruz;Calle Sor Ángela de la Cruz nº 2;POINT (4503901.449217341 -411224.1810679014);5689.3364014274675
240;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);San Germán 5;Calle San Germán nº 5;POINT (4503562.896121526 -411380.874032675);5740.968923632148
144;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Raimundo Fernández;Calle Raimundo Fernández Villaverde nº 33;POINT (4502553.359051885 -412187.3054398999);5796.455273920029
204;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Parque Santander;Calle Santander esquina con Avenida de Filipinas;POINT (4501886.978316098 -413070.3998686475);5796.502617975912
110;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Moncloa;Paseo de Moret nº 2;POINT (4501180.177473204 -414409.1791481215);5894.927688752361
131;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Castellana 164;Paseo de la Castellana nº 164;POINT (4503890.484247498 -410987.9276074661);5898.683670104665
253;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Chamartín;Calle Rodríguez Jaén nº 40;POINT (4505277.903589051 -410373.8318768769);5935.846550950468
150;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Bravo Murillo 44;Calle Bravo Murillo nº 44;POINT (4501965.057806942 -412618.7338531611);5981.536529797004
137;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);General Perón con Poeta Joan Maragall;Avenida del General Perón frente al nº 36;POINT (4503123.359372543 -411397.308282682);5988.788004585987
113;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Paseo de Moret;Paseo de Moret nº 11;POINT (4500936.343260571 -414918.8397121918);6007.908859017033
112;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Arcipreste de Hita B;Calle Arcipreste de Hita nº 12;POINT (4501103.489475997 -414173.1523285313);6039.69066536329
139;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Orense 12;Calle Orense nº 12;POINT (4502752.0754749 -411643.7585185192);6041.002823750658
111;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Arcipreste de Hita A;Calle Arcipreste de Hita nº 12;POINT (4501062.47937559 -414125.7194619767);6093.796848677752
256;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);López Pozas;Calle General López Pozas nº 2;POINT (4504388.460857612 -410511.0384549898);6101.301402888702
201;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Fernando el Católico;Calle Fernando el Católico nº 61;POINT (4501132.488203349 -413832.678113044);6130.063237975812
247;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Galileo;Calle Galileo nº 63;POINT (4501359.457513127 -413305.4089098371);6141.501626509297
151;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Santa Engracia 127;Calle Santa Engracia nº 127;POINT (4501933.866085621 -412351.6328701167);6165.73543233129
254;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Doctor Fleming;Calle Doctor Fleming nº 7;POINT (4503481.207007647 -410879.1546019998);6204.018087474153
203;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Canal;Calle José Abascal frente al nº 2;POINT (4501614.868952803 -412596.3006447445);6281.950258140225
119;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Altamirano;Calle Altamirano nº 24;POINT (4500756.072477181 -414275.9050254758);6339.446352142827
132;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Alberto Alcocer;Avenida de Alberto Alcocer nº 22;POINT (4503823.158219466 -410463.6296565527);6390.155970204348
147;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Agustín de Betancourt;Calle María de Guzmán nº 58;POINT (4502208.791832034 -411678.384084004);6395.931588397717
141;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Castellana frente a Hermanos Pinzón;Paseo de la Castellana nº 122;POINT (4502750.105119913 -411115.6866801831);6442.0111469504045
162;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Fernando el Católico;Calle Fernando el Católico nº 19;POINT (4501075.770922789 -413110.0792881895);6483.186507877617
148;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Paseo de la Castellana con Raimundo Fernández;Paseo de la Castellana esquina calle Raimundo Fernández Villaverde;POINT (4502399.337404424 -411253.2066275122);6567.260333986405
