,NOMBRE,NOMBRE-VIA,DISTRITO,LATITUD,LONGITUD,DISTANCIA_SEDES
535,Instalación Deportiva Municipal Básica San Lamberto,SAN LAMBERTO,CIUDAD LINEAL,40.42153891136008,-3.6510925758289545,POINT (4499705.128693098 -406713.11595606)
536,Instalación Deportiva Municipal Básica San Pascual,ESTEBAN MORA,CIUDAD LINEAL,40.43840494775814,-3.655676791131407,POINT (4501582.647276631 -407224.4676429146)
537,Instalación Deportiva Municipal Básica San Pol,SAN POL DE MAR,MONCLOA-ARAVACA,40.42361742020711,-3.727099101124258,POINT (4499936.507239559 -415191.6928899683)
538,Instalación Deportiva Municipal Básica Sanchinarro I,Infanta Catalina Micaela,HORTALEZA,40.48895117841952,-3.65146043719268,POINT (4507209.427935375 -406754.1493880901)
539,Instalación Deportiva Municipal Básica Sanchinarro II,Infanta Catalina Micaela,HORTALEZA,40.48895117841952,-3.65146043719268,POINT (4507209.427935375 -406754.1493880901)
540,Instalación Deportiva Municipal Básica Sanchinarro III,MARIA TUDOR,HORTALEZA,40.49316433760569,-3.6611026501926633,POINT (4507678.43467061 -407829.7048507397)
541,Instalación Deportiva Municipal Básica Sanchinarro IV,NICETO ALCALA ZAMORA,HORTALEZA,40.48869693430128,-3.645393006068992,POINT (4507181.125609595 -406077.3543849348)
542,Instalación Deportiva Municipal Básica Sanchorreja,SANCHORREJA,LATINA,40.40244721879577,-3.7564266531216193,POINT (4497579.851198457 -418463.3953174934)
543,Instalación Deportiva Municipal Básica Sangenjo,SANGENJO,FUENCARRAL-EL PARDO,40.48884298191689,-3.698554678566628,POINT (4507197.383555797 -412007.4590317863)
544,Instalación Deportiva Municipal Básica Santa Ana I,HOSPITALET DE LLOBREGAT,FUENCARRAL-EL PARDO,40.49451923627522,-3.694680766255544,POINT (4507829.261300578 -411575.3179844277)
545,Instalación Deportiva Municipal Básica Santa Ana II,ALAMEDILLAS,FUENCARRAL-EL PARDO,40.49811073240421,-3.6936911073056353,POINT (4508229.064820844 -411464.9202654338)
546,Instalación Deportiva Municipal Básica Santa Eugenia,CERRO DE ALMODOVAR,VILLA DE VALLECAS,40.38004993117393,-3.6015066796262865,POINT (4495086.596545244 -401182.1650048706)
547,Instalación Deportiva Municipal Básica Santa Hortensia,SANTA HORTENSIA,CHAMARTIN,40.44378407690829,-3.6650091208692905,POINT (4502181.449194536 -408265.4614188538)
548,Instalación Deportiva Municipal Básica Santa Petronila,ANDALUCIA,VILLAVERDE,40.34832663162016,-3.692165872799477,POINT (4491555.174992636 -411294.7786506152)
549,Instalación Deportiva Municipal Básica Santa Rita,ALBA DE TORMES,CARABANCHEL,40.3793200408424,-3.742667573019971,POINT (4495005.345525202 -416928.4558934206)
550,Instalación Deportiva Municipal Básica Santa Virgilia,SANTA VIRGILIA,HORTALEZA,40.47677211929309,-3.641609789568702,POINT (4505853.661275079 -405655.3556930296)
551,Instalación Deportiva Municipal Básica Santuario de Valverde (Montecarmenlo),SANTUARIO DE VALVERDE,FUENCARRAL-EL PARDO,40.50715972029972,-3.697498319643489,POINT (4509236.393545566 -411889.6203353965)
552,Instalación Deportiva Municipal Básica Sepúlveda,SEPULVEDA,LATINA,40.39882022766974,-3.755867569618557,POINT (4497176.096393195 -418401.02444779)
553,Instalación Deportiva Municipal Básica Seseña,SESEÑA,LATINA,40.397645805419295,-3.757739811336285,POINT (4497045.360306299 -418609.8902638121)
554,Instalación Deportiva Municipal Básica Sierra del Valle,ARROYO DEL OLIVAR,PUENTE DE VALLECAS,40.3906112368466,-3.658959835961348,POINT (4496262.275714838 -407590.6803454147)
555,Instalación Deportiva Municipal Básica Sierra Elvira,SIERRA ELVIRA,PUENTE DE VALLECAS,40.40514349396312,-3.660433235882449,POINT (4497879.999177125 -407755.0336293046)
556,Instalación Deportiva Municipal Básica Sinesio Delgado,ISLA DE OZA,MONCLOA-ARAVACA,40.46387990945949,-3.7211400901596057,POINT (4504418.507041204 -414526.9350969105)
557,Instalación Deportiva Municipal Básica Soto Hidalgo,RIAÑO,BARAJAS,40.46124483748552,-3.5794097699469845,POINT (4504125.172170858 -398717.5105617516)
558,Instalación Deportiva Municipal Básica Talbot,TALBOT,USERA,40.36591698103636,-3.71073138828298,POINT (4493513.323732522 -413365.8025738253)
559,Instalación Deportiva Municipal Básica Telémaco,TELEMACO,SAN BLAS-CANILLEJAS,40.44742577488327,-3.63909008577834,POINT (4502586.841158734 -405374.2964460208)
560,Instalación Deportiva Municipal Básica Tercio Terol,CHINDASVINTO,CARABANCHEL,40.39473217663556,-3.728885688549131,POINT (4496721.016633734 -415390.9966247913)
561,Instalación Deportiva Municipal Básica Torrelaguna (La Colina),TORRELAGUNA,CIUDAD LINEAL,40.453221291412646,-3.6610334457155886,POINT (4503231.995107668 -407821.9852897975)
562,Instalación Deportiva Municipal Básica Torrespaña - Fuente del Berro,NUDO M-30 C/V ALCALDE SAINZ DE BARANDA,SALAMANCA,40.42129422167342,-3.6608740643380497,POINT (4499677.889961776 -407804.2067564987)
563,Instalación Deportiva Municipal Básica Tres Olivos I Pádel,CUEVA DE MONTESINOS,FUENCARRAL-EL PARDO,40.49896370465188,-3.6908807947318554,POINT (4508324.017257115 -411151.4269819494)
564,Instalación Deportiva Municipal Básica Tres Olivos II,CAMPO DE CALATRAVA,FUENCARRAL-EL PARDO,40.50049078129212,-3.6934087819699295,POINT (4508494.01065111 -411433.4265364657)
565,Instalación Deportiva Municipal Básica Tribaldos,TRIBALDOS,HORTALEZA,40.46705463815002,-3.639405862507256,POINT (4504771.916222439 -405409.5195787568)
566,Instalación Deportiva Municipal Básica Tribaldos II,TRIBALDOS,HORTALEZA,40.467706247348325,-3.6356019707978606,POINT (4504844.453026591 -404985.2174975373)
567,Instalación Deportiva Municipal Básica Trinquete,VELACHO BAJO,HORTALEZA,40.472578003657866,-3.658209520963392,POINT (4505386.774458238 -407506.9850912886)
568,Instalación Deportiva Municipal Básica Urbanización Arroyo del Santo,PRUNOS,HORTALEZA,40.45407070747356,-3.617972617050469,POINT (4503326.551671041 -403018.7885678292)
569,Instalación Deportiva Municipal Básica Urbis,DOCTOR GARCIA TAPIA,MORATALAZ,40.41116588362631,-3.6420705862194342,POINT (4498550.408527791 -405706.7551370924)
570,Instalación Deportiva Municipal Básica UVA de Vallecas,MONTE DE MONTJUICH,VILLA DE VALLECAS,40.38055163644936,-3.6158152393748777,POINT (4495142.446121033 -402778.1510747726)
571,Instalación Deportiva Municipal Básica UVA Pan Bendito,PAN BENDITO,CARABANCHEL,40.37554043596684,-3.734957451227099,POINT (4494584.601835055 -416068.3384511467)
572,Instalación Deportiva Municipal Básica Valdebernardo,CORDEL DE PAVONES,VICALVARO,40.40033980287463,-3.618411260519516,POINT (4497345.254731227 -403067.7156597819)
573,Instalación Deportiva Municipal Básica Valdelasierra,VALDELASIERRA,ARGANZUELA,40.39791145116776,-3.705800425076079,POINT (4497074.93185575 -412815.7385902713)
574,Instalación Deportiva Municipal Básica Valderriba,GRAN VIA DEL ESTE,VICALVARO,40.40124935583484,-3.5979267062108398,POINT (4497446.505703607 -400782.8563667326)
575,Instalación Deportiva Municipal Básica Valderromán,VALDERROMAN,MONCLOA-ARAVACA,40.47081288448664,-3.721768680723159,POINT (4505190.282290908 -414597.0573392301)
576,Instalación Deportiva Municipal Básica Valdetorres,VALDETORRES DE JARAMA,HORTALEZA,40.47058975661767,-3.643627109650829,POINT (4505165.443810153 -405880.3773380669)
577,Instalación Deportiva Municipal Básica Valdeyeros,ROSALIA DE CASTRO,FUENCARRAL-EL PARDO,40.48387386747736,-3.73068678732996,POINT (4506644.224266694 -415591.9195918255)
578,Instalación Deportiva Municipal Básica Valle Inclán,VALLE INCLÁN,LATINA,40.37843087041222,-3.773851914617546,POINT (4494906.363525686 -420407.3624068269)
579,Instalación Deportiva Municipal Básica Vereda de Ganapanes,BECERREA,FUENCARRAL-EL PARDO,40.47131740905896,-3.7130564782441233,POINT (4505246.445709391 -413625.174514664)
580,Instalación Deportiva Municipal Básica Via Lusitana,VIA LUSITANA,CARABANCHEL,40.37751706497499,-3.7286883543217897,POINT (4494804.63916973 -415368.9828775146)
581,Instalación Deportiva Municipal Básica Villa de Pons - Avenida de San Luis,SAN LUIS,HORTALEZA,40.47152762204448,-3.654689432548898,POINT (4505269.846511898 -407114.3313479593)
582,Instalación Deportiva Municipal Básica Villabona,VILLABONA,USERA,40.36884826418275,-3.7145784474448007,POINT (4493839.632679749 -413794.9558874539)
583,Instalación Deportiva Municipal Básica Villalonso,VILLALONSO,VILLAVERDE,40.34963625511252,-3.7079934408457023,POINT (4491700.961612936 -413060.3758085279)
584,Instalación Deportiva Municipal Básica Virgen de la Estrella,VIRGEN DE LA ESTRELLA,RETIRO,40.408549764339305,-3.668127133397626,POINT (4498259.183460906 -408613.2689120392)
585,Instalación Deportiva Municipal Básica Virgen del Cortijo,OÑA,HORTALEZA,40.4896891338737,-3.662689114816123,POINT (4507291.576760762 -408006.6705932153)
586,Instalación Deportiva Municipal Básica Vital Aza,VITAL AZA,CIUDAD LINEAL,40.43077285384415,-3.644721019010737,POINT (4500733.046468439 -406002.3974931309)
587,Instalación Deportiva Municipal Básica Yeserías I,YESERIAS,ARGANZUELA,40.40060409154897,-3.712719914790534,POINT (4497374.675211877 -413587.6296385889)
588,Instalación Deportiva Municipal Básica Yeseros,YESEROS,PUENTE DE VALLECAS,40.38139501897959,-3.629842097739682,POINT (4495236.331034842 -404342.7404357996)
589,Instalación Deportiva Municipal Básica Zazuar,ZAZUAR,VILLA DE VALLECAS,40.38257934400676,-3.6054546139177392,POINT (4495368.1694938 -401622.5176558497)
590,Instalación Deportiva Municipal Básica Zofío,RICARDO BELTRAN Y ROZPIDE,USERA,40.38074653650551,-3.717932056980073,POINT (4495164.142296039 -414169.0646430703)
591,Instalación Deportiva Municipal Canal de Remo Puente de la Princesa,SUR DEL PUENTE DE LA PRINCESA,DISTRITO,40.38826046424135,-3.697263762189049,POINT (4496000.588905449 -411863.4550577344)
592,Instalación Deportiva Municipal Embajadores M-30,PUERTO DE LA CRUZ VERDE,ARGANZUELA,40.38418473435094,-3.685817452497564,POINT (4495546.880729439 -410586.60840513)
593,Instalación Deportiva Municipal Nave de Terneras,CHOPERA,ARGANZUELA,40.3933877847248,-3.698565632659468,POINT (4496571.359610802 -412008.6809808511)
594,Instalación Deportiva Municipal Pádel  Marqués de Monistrol,RIBERA DEL MANZANARES,MONCLOA-ARAVACA,40.42217047822115,-3.7244049640242287,POINT (4499775.434394474 -414891.1477215103)
595,Instalación Deportiva Municipal Parque Calle Vado,ANTONIO LOPEZ,USERA,40.38577014172646,-3.696401590634661,POINT (4495723.367471182 -411767.2784334726)
596,Instalación Deportiva Municipal Parque Lineal del Manzanares Victoriano González,EMBAJADORES,USERA,40.37383457446904,-3.6826926059178593,POINT (4494394.706201756 -410238.0316764428)
597,Instalación Deportiva Municipal Puente de Praga,MANZANARES,CARABANCHEL,40.39522836906418,-3.707009644057296,POINT (4496776.252522223 -412950.6303714363)
598,Instalación Deportiva Municipal Rocódromo 'Roc 30',MANZANARES,CARABANCHEL,40.39927267070148,-3.718824070151145,POINT (4497226.462121102 -414268.572572413)
599,Instalación Deportiva San Vicente de Paúl,PELICANO,CARABANCHEL,40.38361446201276,-3.726103293297352,POINT (4495483.398303139 -415080.6051803128)
600,Madrid Caja Mágica,PERALES,USERA,40.36907980843444,-3.685252060454517,POINT (4493865.408067944 -410523.5388152356)
601,Parque Deportivo Puerta de Hierro,DE LA CORUÑA,MONCLOA-ARAVACA,40.44867766287966,-3.771991988051973,POINT (4502726.200693022 -420199.8666184338)
602,Parque Lineal UZI 0.06 Arroyofresno,MARIA DE MAEZTU,FUENCARRAL-EL PARDO,40.487146568534655,-3.73286267010944,POINT (4507008.539681911 -415834.6524269153)
603,Piscina Baby Swin,RAFAEL HERRERA,CHAMARTIN,40.46781231881899,-3.684850840012677,POINT (4504856.260848694 -410478.7826229851)
604,Piscina Bahía - Madrid,EUGENIO SELLES,ARGANZUELA,40.39598825488289,-3.6990874081387193,POINT (4496860.842624623 -412066.8860060829)
605,Piscina Real Canoe Madrid,PEZ VOLADOR,RETIRO,40.413487455413886,-3.664875776403253,POINT (4498808.844717023 -408250.5871617015)
606,Piscina SAGE Fitness,ESCALONA,LATINA,40.39718226159854,-3.761104700879396,POINT (4496993.758844213 -418985.2758262118)
607,Pista de Patinaje Paco de Lucía,PACO DE LUCIA,DISTRITO,40.38527831238433,-3.764155221627044,POINT (4495668.617279258 -419325.5917997775)
608,Pista de petanca Centro de Mayores La Vaguada,MONFORTE DE LEMOS,FUENCARRAL-EL PARDO,40.47903297218874,-3.708264188659831,POINT (4506105.338268181 -413090.5785481936)
609,Polideportivo Antonio Magariños,SERRANO,CHAMARTIN,40.44252221660984,-3.686096226545272,POINT (4502040.979548661 -410617.7057179091)
610,WiZink Center,JORGE JUAN,SALAMANCA,40.42328354496374,-3.672104027231158,POINT (4499899.340417478 -409056.8845014666)
